gender,age,days_diff,max_date_income,offer_id_count,amount_count,amount_mean,reward_count,reward_mean,xid-0b1e1539f2cc45b7b9fa7c272da2e1d7,xid-2298d6c36e964ae4a3e7e9706d1fb8c2,xid-2906b810c7d4411798c6938adc9daaa5,xid-3f207df678b143eea3cee63160fa8bed,xid-4d5c57ea9a6940dd891ad53e9dbe8da0,xid-5a8bc65990b245e5a138643cd4eb9837,xid-9b98b8c7a33c4b65b9aebfe6a799e6d9,xid-ae264e3637204a6fb9bb56bc8210ddfd,xid-f19421c1d4aa40978ebb69ca19b0e20d,xid-fafdcd668e3743c1bb461111dcafc2a4
M,19.0,273,75206.86515680778,6,4,4.615,0,,1,0,0,1,1,0,1,0,0,0
M,50.0,1643,124432.93868392897,11,9,23.415555555555557,2,5.0,0,0,0,1,0,1,1,0,1,0
F,58.0,823,129655.27739316548,6,5,27.422000000000004,1,10.0,0,0,1,1,1,0,0,0,0,0
M,59.0,1765,98658.24238787472,9,19,3.867894736842105,2,2.0,0,0,0,1,0,0,0,0,0,1
F,28.0,482,60883.60520191606,13,13,11.837692307692306,4,4.75,0,0,1,1,1,0,1,0,1,1
M,36.0,173,69489.10963322231,15,8,16.565,4,5.5,0,0,0,0,1,1,1,0,1,1
M,78.0,124,45165.580468193206,9,6,1.665,0,,0,0,1,0,0,0,0,1,1,1
F,52.0,31,65426.25870221087,10,7,3.5285714285714285,1,5.0,1,0,0,0,0,1,0,0,1,1
M,92.0,240,50491.52654965965,10,6,2.1666666666666665,0,,0,1,0,0,1,0,0,1,1,0
M,42.0,104,38842.49134441461,4,4,1.335,0,,0,0,0,0,1,0,0,0,1,0
F,93.0,411,76336.82703759892,14,7,15.065714285714288,4,6.75,0,0,0,0,1,1,0,1,1,1
M,45.0,203,88717.24115697251,8,1,41.09,1,2.0,0,0,1,0,1,1,1,0,0,0
M,60.0,897,41078.91278288484,7,13,3.6123076923076924,1,3.0,1,1,0,0,0,0,1,0,1,0
M,58.0,1605,56109.05361084365,9,16,3.216875,1,2.0,1,0,0,1,0,0,1,1,0,1
F,69.0,259,50694.21098332258,9,10,3.132,1,2.0,0,1,1,1,0,0,0,0,0,1
F,59.0,843,115868.89723496193,7,6,30.38166666666667,3,4.0,0,0,1,0,0,0,1,0,0,0
F,49.0,196,92755.16567644343,11,6,26.813333333333333,3,6.0,0,1,0,0,0,0,1,1,0,1
F,67.0,260,81339.11217253115,12,8,19.23875,3,4.666666666666667,0,0,0,0,0,1,0,1,0,1
M,84.0,1243,85776.40650534557,11,10,14.611,3,7.333333333333333,0,0,1,0,0,0,0,1,0,0
F,39.0,305,53321.142190828716,10,9,2.4522222222222223,1,2.0,0,0,1,0,0,0,0,1,1,1
F,56.0,765,61102.06280371829,14,12,12.025833333333333,4,3.25,0,1,1,1,0,0,0,0,1,0
F,87.0,1032,77071.51999809948,11,13,15.316923076923077,3,6.0,0,1,0,1,1,0,0,0,1,0
O,57.0,261,103544.33664765915,12,12,24.551666666666666,4,4.5,1,1,0,0,0,0,0,0,1,0
F,52.0,557,51732.49188216772,8,10,14.241999999999999,2,4.0,0,1,0,1,0,0,1,0,0,0
M,50.0,242,58931.62745806703,8,14,3.3921428571428573,2,3.5,0,0,1,0,0,1,1,0,0,0
F,68.0,676,70344.87489656024,3,5,15.209999999999999,1,3.0,0,1,0,0,0,0,0,0,0,0
M,94.0,1082,62813.18795174259,9,11,2.5890909090909093,2,2.0,1,0,1,1,0,0,0,0,1,1
F,81.0,512,112513.9064168493,9,9,25.896666666666665,3,4.0,0,0,1,0,0,0,1,0,1,0
F,37.0,943,113458.04115312094,16,9,25.177777777777777,4,4.75,1,0,1,0,1,1,0,0,0,1
M,65.0,266,104711.24630658937,11,2,27.095,2,4.0,1,1,1,1,0,1,0,0,0,0
F,26.0,89,41776.66414570155,11,7,3.1,1,3.0,0,1,1,0,0,1,0,0,1,0
M,42.0,1086,55322.24498771706,5,3,8.196666666666667,1,5.0,0,0,0,0,0,1,0,0,1,0
M,71.0,198,67771.11007571763,11,12,14.46,3,4.333333333333333,0,1,0,1,0,0,1,0,1,0
M,57.0,98,71461.49366314863,7,8,4.2975,1,2.0,1,0,0,0,0,0,0,1,0,1
F,73.0,254,74906.17479046818,12,8,76.3775,4,6.25,0,1,1,0,0,0,0,1,0,0
M,70.0,1299,85480.15429343499,11,16,2.965625,2,2.0,0,0,1,1,0,1,0,0,0,1
M,65.0,804,101887.82354425258,9,3,22.863333333333333,3,4.0,1,0,1,0,0,1,1,0,0,0
F,57.0,497,82175.61638872558,11,16,18.0575,4,3.0,0,1,1,0,0,0,1,0,0,1
M,77.0,1064,117641.45578049168,16,10,23.548000000000002,5,4.4,1,0,0,0,0,0,0,0,1,1
M,48.0,338,45102.49880714005,9,8,2.4975,0,,0,0,1,0,1,0,0,1,0,0
M,61.0,1657,92182.40815508437,14,5,14.866,3,6.666666666666667,0,0,0,0,1,1,1,0,1,0
F,60.0,944,71993.93576782921,17,8,15.03375,5,5.4,1,0,1,0,1,0,1,0,1,0
M,57.0,286,93470.00048488598,15,14,23.106428571428573,5,7.6,1,1,0,0,1,0,0,1,0,0
F,66.0,57,70846.37607692103,9,6,3.1833333333333336,0,,0,1,1,1,0,0,1,0,0,0
F,66.0,607,84103.85118658115,11,7,21.985714285714288,3,5.666666666666667,1,0,0,1,0,0,1,1,0,1
F,56.0,475,90638.04311305711,13,14,23.037857142857142,3,6.0,0,1,0,1,0,0,0,1,1,0
M,78.0,1654,90706.82191938131,9,14,4.368571428571428,3,4.0,1,0,0,0,0,1,1,0,0,1
F,52.0,463,92614.09578743723,9,6,23.036666666666665,3,8.333333333333334,0,0,1,0,1,0,1,0,0,0
M,19.0,893,55530.497929171346,10,14,2.367142857142857,1,3.0,1,1,0,0,1,0,1,0,0,0
M,58.0,1053,143589.63304623018,8,7,27.084285714285716,2,6.5,0,1,0,1,0,1,0,1,0,0
M,41.0,829,80988.25563749786,11,17,15.508823529411764,4,5.5,1,0,0,0,0,0,1,1,0,1
F,64.0,982,93483.98785743535,11,10,20.499,2,7.5,0,0,0,1,0,1,0,1,1,0
M,51.0,754,76200.6356245797,15,14,18.225714285714286,3,6.0,0,1,0,1,0,1,1,1,0,0
F,81.0,736,95765.87805289212,11,9,21.26111111111111,3,3.3333333333333335,0,1,1,0,1,0,1,0,0,0
F,88.0,234,58832.30436051055,7,15,2.986666666666667,0,,0,0,1,0,1,1,0,0,1,0
F,67.0,726,115376.24962344373,11,10,27.307,4,5.0,1,1,0,0,0,0,0,1,0,1
F,74.0,881,122821.68313031782,13,11,26.366363636363634,5,5.6,1,1,0,1,0,0,1,1,0,0
M,74.0,193,83322.70682813496,13,4,19.53,3,4.333333333333333,0,1,0,0,1,1,1,0,1,0
F,66.0,202,81393.95151407654,12,10,19.035,4,3.5,0,0,1,0,0,0,1,0,1,1
F,76.0,620,93451.96781701979,12,11,22.237272727272728,3,3.0,0,0,1,1,0,0,0,0,1,1
M,43.0,105,37828.29585689757,6,5,9.562000000000001,2,7.5,0,0,0,0,0,0,0,1,1,0
M,70.0,43,83755.95318617669,9,5,18.984,1,10.0,0,1,0,0,0,1,0,1,0,0
F,73.0,427,108326.92365562235,10,7,22.915714285714284,3,6.666666666666667,0,0,0,0,0,0,1,1,1,0
F,30.0,741,36242.36217934421,3,13,9.706923076923077,0,,0,0,0,1,0,0,0,0,0,0
F,83.0,1516,82598.90701258712,10,17,3.692941176470588,1,5.0,1,0,1,0,1,1,1,1,0,0
M,49.0,303,77816.04531480544,3,6,2.7466666666666675,0,,1,0,0,1,0,0,0,0,0,0
M,68.0,1684,54198.93234337609,8,17,2.6070588235294117,0,,0,0,0,0,0,0,0,1,0,0
F,28.0,1182,84680.21658971712,12,13,2.5507692307692307,2,2.5,0,1,1,1,0,0,1,1,0,0
M,59.0,733,38515.55556116794,4,3,2.0433333333333334,0,,0,0,0,1,0,0,1,1,0,0
F,58.0,342,125748.6880698683,12,17,28.35705882352941,4,4.0,0,0,1,1,1,0,0,0,0,1
M,38.0,357,42049.0111430887,10,7,10.327142857142858,3,4.333333333333333,1,1,0,0,0,0,1,0,1,0
M,52.0,542,80716.9018445289,10,4,23.9825,3,4.333333333333333,1,1,0,1,0,0,1,0,0,0
M,60.0,31,81531.18392121662,14,4,21.9925,4,3.0,0,1,1,0,0,0,0,0,1,1
F,75.0,989,38187.94913373409,8,17,2.3088235294117645,0,,0,0,0,0,0,1,0,1,0,1
M,39.0,19,98393.39421594693,11,2,20.66,1,2.0,0,0,0,1,0,1,0,1,1,1
F,97.0,634,46864.11954138183,12,19,3.34,2,5.0,1,0,1,0,0,1,1,1,0,0
M,70.0,301,34096.761367400446,9,6,1.6933333333333334,0,,0,0,0,1,1,1,1,0,0,0
F,43.0,957,67297.2052825563,14,6,12.378333333333332,4,6.75,0,0,0,0,0,0,1,1,0,1
M,65.0,180,91404.08806312206,14,1,42.64,2,3.5,1,0,1,1,0,0,0,1,1,1
F,25.0,616,72876.63051377164,5,4,13.32,2,5.0,1,0,0,1,0,0,1,0,0,0
F,91.0,241,74701.13225658375,10,3,22.203333333333333,2,6.0,0,0,1,0,1,0,0,0,0,0
F,20.0,535,39179.51254833205,10,16,8.191875,3,5.666666666666667,0,0,1,0,0,0,1,1,0,0
F,56.0,831,50043.2569030373,7,9,10.229999999999999,2,2.5,0,1,1,0,0,0,0,0,0,1
M,68.0,1178,101274.20162079722,8,2,19.84,2,7.5,0,0,0,1,1,0,1,0,0,0
M,58.0,749,119450.38378953213,11,12,23.785833333333333,4,7.5,1,0,0,0,1,0,0,0,1,0
F,70.0,756,116108.38272932683,13,6,28.75666666666667,3,3.6666666666666665,0,1,0,0,0,1,1,0,0,0
M,84.0,30,69437.84734267935,9,2,22.785,0,,0,1,1,0,0,1,0,0,0,0
F,63.0,555,106793.79702625934,14,9,23.09222222222222,4,7.5,1,0,0,1,1,0,1,1,0,0
M,23.0,313,53411.16111946341,9,5,3.9299999999999997,2,3.5,1,0,0,1,0,1,1,0,0,1
M,47.0,1188,68086.8631007754,13,7,10.192857142857141,4,5.75,1,1,0,0,0,0,1,1,0,0
M,78.0,71,53799.40552816595,13,4,16.5025,3,6.0,1,1,0,0,1,1,0,0,0,0
M,85.0,84,86518.89579339487,9,1,31.18,1,3.0,0,1,1,0,0,0,0,0,0,1
O,54.0,438,95417.43971822315,7,6,21.706666666666667,1,3.0,0,1,0,1,0,0,0,0,0,0
M,32.0,1091,74260.34975763196,13,16,15.62875,4,5.5,0,0,1,0,1,0,0,0,1,0
M,82.0,725,107195.72814872031,5,3,25.703333333333333,1,10.0,0,0,0,0,1,1,0,0,0,0
M,74.0,224,104836.4033212698,13,4,29.0775,2,5.0,0,1,0,1,0,0,1,0,1,0
M,48.0,1133,86349.51699023873,9,12,3.9483333333333337,1,3.0,0,1,1,1,1,0,0,1,0,0
M,55.0,752,74996.68505679561,5,4,18.13,1,10.0,1,0,0,0,0,0,0,1,0,0
M,41.0,1246,39013.946406099516,9,14,1.9657142857142857,2,3.5,0,0,0,0,0,0,1,0,1,1
M,62.0,925,69275.37630416865,10,14,16.500714285714285,3,7.333333333333333,0,0,0,1,1,0,0,1,0,1
M,70.0,1810,45405.33583984078,10,19,2.711052631578948,1,5.0,1,0,0,0,0,0,0,1,1,0
M,26.0,351,73223.52989499176,10,8,2.3,1,2.0,0,1,1,0,1,0,0,0,0,1
F,52.0,396,79357.01901664793,8,10,19.654,2,10.0,0,0,0,1,1,0,0,1,0,0
F,42.0,302,65010.65754962076,11,4,16.7275,3,6.0,0,1,0,1,1,0,0,0,1,0
F,44.0,112,75768.34065671978,7,6,2.6666666666666665,1,3.0,0,1,0,0,1,0,0,0,0,0
F,80.0,389,37991.76989829612,10,5,8.224,3,3.0,1,0,1,1,0,0,0,0,1,0
M,78.0,248,52684.13375591,7,6,1.9666666666666668,0,,0,0,1,0,0,1,1,0,1,0
M,78.0,938,113338.48981385655,10,7,22.314285714285713,3,6.666666666666667,1,0,0,1,1,1,1,0,0,0
F,62.0,579,93777.4116247653,10,4,27.23,3,4.0,0,0,1,0,0,1,1,0,0,0
F,44.0,67,41583.321522131046,3,3,1.3099999999999998,0,,1,0,0,1,0,0,1,0,0,0
M,42.0,578,65517.387364409165,8,12,2.5308333333333333,0,,1,0,1,0,0,1,0,0,1,0
M,59.0,833,92976.67750752818,8,6,15.223333333333334,2,6.5,0,1,0,0,0,1,0,1,0,0
M,27.0,1089,50324.77318530227,12,16,3.345625,2,2.0,0,0,0,1,0,1,0,0,0,1
F,73.0,309,69375.97247679927,12,2,19.185000000000002,2,7.5,0,0,1,0,1,0,1,1,0,1
M,82.0,979,95883.42193217474,6,5,22.448,1,2.0,0,0,0,1,0,1,0,0,0,1
F,55.0,79,75242.96526709621,7,6,23.060000000000002,2,3.5,0,0,0,1,0,0,0,0,1,1
M,73.0,57,61737.55629560262,10,14,15.075000000000001,2,2.0,0,0,1,1,1,0,0,0,0,1
M,72.0,475,112744.88289672958,13,5,26.65,3,2.6666666666666665,0,1,0,0,0,1,0,1,0,1
F,36.0,96,55104.19539023873,13,10,13.894,4,2.75,0,1,1,0,0,0,0,0,0,0
F,62.0,209,49117.51561635023,9,7,48.04142857142857,2,7.5,0,0,0,0,0,1,1,1,0,0
M,43.0,359,47459.91984210955,9,13,2.626923076923077,2,3.0,0,1,0,1,0,0,0,0,0,0
M,37.0,792,81540.6298062291,12,17,3.934117647058823,2,2.5,0,1,0,1,0,0,1,1,0,1
M,58.0,819,36843.34958160546,12,17,8.75235294117647,3,8.333333333333334,0,0,0,1,1,1,1,1,0,0
M,38.0,316,34204.77272616431,9,7,2.798571428571429,0,,1,1,0,0,1,0,1,0,1,1
F,75.0,745,60844.93529607956,6,6,15.979999999999999,2,3.0,0,1,0,0,0,0,0,0,0,0
M,63.0,207,124308.93665427285,10,6,26.474999999999998,3,7.666666666666667,0,1,0,0,1,0,0,1,0,0
F,49.0,416,117901.05182116198,7,2,21.775,1,2.0,0,1,0,1,0,0,0,0,0,1
M,62.0,56,51605.76309322597,4,5,4.228,0,,0,1,0,1,0,0,1,0,0,0
M,50.0,249,77988.96036656128,7,9,3.902222222222222,2,4.0,0,1,0,0,0,0,1,0,1,0
M,73.0,668,89797.58434683521,15,9,22.474444444444444,4,4.75,0,0,0,1,0,0,1,1,0,1
M,54.0,324,102787.5558588102,12,5,28.564,4,5.5,1,0,1,1,0,0,1,1,0,0
F,26.0,257,78120.6245126969,6,4,3.8275,0,,1,0,1,0,0,1,0,0,0,1
M,53.0,1392,52303.73917642011,6,14,2.942857142857143,2,2.0,0,0,0,0,0,0,0,0,0,1
F,41.0,980,110658.04764356422,15,11,20.58,5,5.8,0,1,0,0,0,0,0,1,0,0
M,69.0,441,113036.9542595269,12,8,28.6075,4,5.5,0,0,1,0,1,0,1,0,1,0
M,60.0,1559,100021.44851530998,5,11,3.530909090909091,1,10.0,0,0,0,0,1,1,0,0,0,0
M,25.0,474,54150.33854993392,10,12,12.325000000000001,3,6.666666666666667,1,0,0,1,1,0,0,0,1,0
M,66.0,708,92880.15156834984,9,3,23.136666666666667,2,4.0,1,1,0,1,0,0,0,0,1,0
M,49.0,15,31098.201470972574,4,4,1.2875,0,,0,0,0,0,0,1,1,0,0,0
M,19.0,361,59349.92264580657,9,6,12.75,2,6.0,0,0,1,0,1,1,0,0,0,1
F,76.0,1403,71244.49154772655,6,8,3.9762500000000003,0,,0,0,0,1,1,0,0,0,0,0
M,40.0,1058,67495.8179575848,11,10,15.050999999999998,3,4.0,1,0,0,0,0,0,1,0,0,1
F,65.0,123,85180.74617185308,12,8,78.48875,3,3.3333333333333335,0,1,0,1,1,0,1,0,0,1
F,45.0,4,61051.46963078446,4,3,17.64,0,,1,0,0,0,1,0,0,0,0,0
F,69.0,685,131713.904879848,8,5,121.686,1,5.0,1,0,0,1,1,0,0,0,0,0
M,54.0,295,88326.66087562541,14,10,72.525,4,4.75,0,0,1,1,1,0,1,0,0,1
M,65.0,262,70805.44377880396,10,6,3.8683333333333336,2,4.0,1,1,0,0,1,0,1,0,0,0
M,39.0,12,66167.20636239533,9,0,,0,,0,0,0,1,1,1,0,0,1,1
M,29.0,420,60092.86379149162,4,6,2.0816666666666666,0,,1,0,1,1,0,0,0,0,0,0
M,61.0,1745,49121.536156630995,13,18,3.117777777777778,2,3.5,0,0,0,0,0,1,1,1,0,1
F,54.0,1176,61507.748569950985,4,9,3.79,0,,1,0,1,0,0,0,0,0,1,0
F,72.0,1057,56234.65651529341,11,14,9.930714285714286,4,4.25,1,0,1,0,0,0,0,0,1,0
F,33.0,924,53464.45479216328,9,21,3.18,1,2.0,0,1,1,1,0,0,0,0,0,1
F,42.0,1743,69318.81283627963,9,13,3.2553846153846155,2,3.5,1,0,0,1,1,0,0,0,1,1
F,70.0,408,112253.1594268669,9,8,24.42875,2,6.5,0,1,0,1,0,1,0,1,0,0
M,38.0,354,54952.396925575275,3,0,,0,,0,0,0,1,0,0,1,0,0,0
M,81.0,471,76204.29877625685,12,5,19.53,4,4.5,1,1,0,0,1,0,1,0,1,0
M,36.0,306,45865.85217896372,8,7,2.3642857142857143,0,,0,0,0,0,0,1,0,1,1,1
M,36.0,137,54553.32482672184,5,7,1.967142857142857,0,,0,1,1,0,0,0,0,1,0,0
F,51.0,1121,102597.58910263775,12,8,22.06625,2,6.0,0,0,0,1,1,0,0,1,1,1
F,69.0,722,128087.75702048087,8,4,28.665,3,6.0,1,1,0,0,0,0,0,1,0,0
F,63.0,57,86027.7423791184,15,5,16.130000000000003,5,6.4,0,0,1,0,1,0,1,1,0,0
O,59.0,351,92606.22898484253,7,3,24.810000000000002,1,3.0,0,1,0,0,0,0,1,1,0,0
M,50.0,402,68572.8920987053,11,12,14.633333333333333,3,7.333333333333333,0,0,1,0,0,0,0,1,0,0
M,64.0,316,63065.04971386544,13,4,13.3275,2,6.0,1,1,1,0,0,0,0,1,0,1
M,40.0,100,41873.67230335,10,4,3.06,1,5.0,1,1,0,0,0,0,1,1,1,0
M,30.0,420,71018.83902630828,15,27,3.3318518518518516,4,2.5,0,1,0,1,1,0,0,0,0,1
M,61.0,1682,84115.49455249294,11,23,3.3773913043478263,2,2.5,0,1,1,1,0,0,0,0,1,0
M,25.0,724,76885.07014421462,6,20,3.3899999999999997,1,3.0,0,1,0,1,0,0,0,1,0,0
F,78.0,601,83997.51758686862,12,8,19.57125,4,4.25,0,1,0,0,1,0,0,0,0,1
M,27.0,14,74218.76557704035,9,7,4.172857142857143,1,3.0,0,1,1,1,1,1,0,0,0,0
M,55.0,195,52098.65736542318,13,15,12.306000000000001,3,5.0,1,0,0,0,0,1,1,0,1,0
M,28.0,135,31895.095347157792,6,6,2.25,0,,0,0,1,1,1,0,0,0,0,1
M,77.0,209,33441.71276006824,8,2,2.585,0,,0,0,0,1,1,1,1,0,0,0
M,24.0,44,38354.185259660015,4,5,3.278,0,,0,1,0,0,0,0,0,0,0,1
M,52.0,555,48338.24496978054,12,17,2.5541176470588236,4,3.25,1,1,1,0,0,0,0,0,0,1
M,56.0,460,88148.12444166906,12,8,22.675,2,10.0,1,0,1,1,1,1,0,0,0,0
F,43.0,1091,84329.5497247685,11,15,17.553333333333335,4,5.5,1,0,0,0,1,0,0,0,1,1
F,48.0,81,73240.25083109207,11,12,64.53333333333333,3,2.0,0,0,1,1,0,0,0,0,0,1
M,59.0,374,113615.40003654237,12,7,26.717142857142857,3,5.666666666666667,0,0,1,1,1,1,0,0,1,0
M,59.0,20,57240.87901259305,5,4,12.35,0,,0,0,0,0,0,1,0,0,1,1
M,64.0,1440,101607.28493913585,13,10,19.689,4,4.75,0,1,1,0,0,0,1,1,0,1
M,65.0,284,53085.56368773817,12,6,9.013333333333334,2,5.0,1,0,0,0,0,1,0,1,1,0
F,36.0,777,108377.52257591886,11,6,26.150000000000002,3,5.0,1,0,0,1,0,0,0,0,1,0
M,54.0,50,70741.88642374905,12,6,19.128333333333334,4,7.5,1,0,0,0,1,0,1,1,0,0
F,72.0,13,49134.4970799884,8,8,3.18125,1,2.0,0,0,0,1,1,0,0,1,0,1
M,73.0,309,90722.42554658366,5,5,18.916,1,5.0,0,0,0,0,0,1,0,0,1,0
M,43.0,706,116051.23982910968,14,11,23.570909090909087,4,5.0,1,1,0,0,0,1,0,1,0,1
M,39.0,254,101281.58844908375,8,1,25.69,0,,0,0,0,1,0,0,0,1,0,0
M,33.0,180,45702.04403156103,8,10,2.294,0,,1,0,1,0,0,1,0,1,0,1
M,51.0,700,86928.3860458835,18,15,17.916,6,5.166666666666667,1,1,0,0,0,0,0,1,1,0
F,80.0,1405,103549.80629376989,14,2,16.755,2,4.0,0,1,0,0,0,1,1,0,1,1
F,25.0,237,70433.18874326185,14,8,16.6325,3,6.0,0,1,0,1,1,1,1,0,1,0
F,48.0,1013,79239.61229570728,12,15,15.438666666666668,4,7.0,1,1,0,0,1,0,0,1,0,0
F,45.0,298,52177.65009091864,3,3,2.5866666666666664,0,,1,0,0,0,1,0,0,0,0,0
M,51.0,224,80724.03055737774,8,0,,0,,1,0,0,0,1,0,0,0,1,1
M,56.0,115,61472.662358098925,7,2,15.63,0,,0,0,0,1,0,1,0,1,0,1
F,35.0,1106,50505.48535960039,8,8,5.37625,0,,1,0,0,1,1,1,1,0,0,0
F,83.0,187,75935.84176600505,12,15,19.565333333333335,4,4.25,0,0,0,0,0,0,1,0,1,1
M,70.0,1017,141264.65300548714,14,13,29.928461538461537,3,2.0,0,0,1,0,0,1,0,0,0,1
M,71.0,243,97889.23358122131,7,3,23.25666666666667,1,10.0,0,0,0,0,1,1,0,1,0,1
M,35.0,300,42611.965936570035,7,3,1.5866666666666667,0,,1,0,1,0,0,1,1,1,0,0
M,30.0,194,58338.194217665936,6,4,3.2225,0,,1,0,1,0,1,1,0,0,0,0
M,29.0,191,53095.830139396094,12,20,2.592,3,3.3333333333333335,1,1,1,0,0,0,0,0,0,1
M,63.0,351,64608.99696616921,17,9,14.799999999999999,6,3.8333333333333335,0,1,1,0,1,0,0,0,0,1
M,43.0,1717,113463.48011658508,17,6,24.308333333333334,5,3.8,1,1,0,0,0,1,1,0,0,0
F,43.0,1023,71962.47322225815,15,19,16.054736842105264,4,7.5,0,0,0,0,0,1,1,1,1,0
F,53.0,502,37796.19033277645,8,15,7.979333333333333,2,6.5,0,1,0,0,0,1,0,1,0,0
F,57.0,583,61063.28956835835,15,8,14.175,3,5.0,0,0,0,1,0,1,1,0,1,0
M,71.0,490,104231.28710167881,13,13,24.35307692307692,4,6.75,0,0,0,0,1,1,1,0,0,1
F,59.0,1623,81667.4961196887,8,14,3.6042857142857145,1,2.0,1,0,1,0,1,0,1,0,0,0
M,62.0,211,62729.65921738625,5,10,3.2910000000000004,0,,1,0,0,0,1,0,0,0,0,0
F,36.0,890,68766.01789040548,6,8,3.19125,0,,1,0,1,0,0,1,0,1,0,0
M,67.0,339,84853.54218537768,11,9,20.72666666666667,3,5.0,1,0,0,0,0,1,0,0,1,0
M,54.0,27,70399.6471143906,9,7,3.7285714285714286,0,,1,1,0,0,0,1,0,0,0,1
F,46.0,196,76080.07971213899,10,0,,0,,0,0,1,0,0,1,0,1,1,1
M,91.0,613,101279.97873235767,8,6,25.89333333333333,2,7.5,0,0,0,1,0,0,0,1,1,0
F,78.0,293,71269.77357225963,11,10,4.637,2,7.5,0,0,1,0,1,0,0,0,1,1
F,59.0,873,52892.60706865367,8,7,8.954285714285714,2,5.0,1,0,0,1,1,0,0,0,1,0
M,46.0,333,62218.773708967194,12,0,,0,,1,0,0,0,0,1,0,1,1,0
M,42.0,137,65875.71299830562,5,1,22.23,1,3.0,0,1,0,0,1,0,0,0,0,0
F,72.0,209,84649.33542392273,16,7,25.262857142857143,4,5.0,1,0,0,1,0,1,1,0,0,0
F,40.0,856,114989.13513861994,13,10,24.59,3,4.0,1,0,1,0,0,1,0,0,1,0
M,51.0,136,50425.45932592951,9,0,,0,,0,1,0,1,0,0,0,1,1,0
F,76.0,1674,91090.14419480928,8,1,20.78,1,10.0,0,0,0,1,1,0,0,1,0,0
M,69.0,653,120499.64604403602,6,5,21.404,1,10.0,0,0,0,0,0,1,1,1,0,0
F,34.0,652,37863.33292057544,10,14,2.4628571428571426,2,6.0,1,1,0,1,1,0,0,0,0,1
M,25.0,539,60499.39499140298,14,18,33.15611111111111,4,7.5,0,0,0,0,0,1,1,1,0,0
M,83.0,993,77673.25026885605,13,12,14.999166666666667,3,5.666666666666667,0,0,0,1,0,0,1,1,0,1
M,41.0,615,66030.52225645023,10,12,15.39,2,5.0,0,0,0,0,1,1,1,0,1,0
M,50.0,1654,82203.05736443932,13,9,18.24,3,4.0,0,0,0,1,0,1,1,0,1,1
M,51.0,218,37693.388622444814,5,6,3.7550000000000003,0,,0,0,0,1,0,0,1,0,0,1
M,30.0,29,45276.005064462,9,4,1.8325,0,,1,0,0,1,1,0,0,0,1,0
M,53.0,287,67992.51702909419,9,7,3.4785714285714286,1,5.0,0,0,1,1,1,0,0,0,1,0
M,67.0,904,89539.1045872731,13,10,19.36,4,4.75,1,0,0,1,0,0,0,1,0,1
M,60.0,8,64108.04741226288,13,2,16.3,1,5.0,1,1,1,1,0,1,0,0,0,1
F,70.0,1708,117548.93904099207,7,4,22.96,2,6.0,0,0,0,0,1,0,0,1,0,1
F,51.0,263,106759.07251120039,15,5,24.346,4,6.25,0,1,0,0,1,1,1,0,0,1
M,40.0,23,59286.821313455424,6,3,13.950000000000001,0,,0,1,0,1,0,0,1,0,0,0
M,51.0,1013,81715.85017994813,9,11,4.611818181818182,3,3.6666666666666665,0,1,0,0,0,0,0,0,1,0
F,95.0,410,88313.99098379035,15,13,22.314615384615383,4,3.0,0,1,0,0,0,1,1,0,0,1
M,52.0,363,33465.88431539511,7,4,2.2075,0,,0,0,0,1,0,1,1,0,0,1
F,74.0,412,77443.68058464695,11,9,16.38888888888889,3,6.0,0,1,0,0,1,1,1,0,0,0
F,60.0,107,72620.05032402262,10,4,16.2775,2,6.5,0,1,0,1,1,0,0,0,0,0
F,89.0,344,50535.73689674202,11,9,8.822222222222223,2,6.0,0,1,0,0,1,1,0,0,0,1
M,18.0,272,43420.16029882124,4,0,,0,,1,0,1,0,0,0,0,0,1,0
M,59.0,236,70418.33931832339,7,2,5.239999999999999,1,5.0,0,0,1,0,1,0,1,0,0,0
M,66.0,31,45295.10217845368,14,8,3.22125,2,2.5,0,1,0,0,1,0,0,1,0,1
F,50.0,642,93886.47492165193,11,16,21.821875,3,2.6666666666666665,0,1,0,0,0,1,0,0,0,1
F,56.0,96,73472.26052031832,13,2,15.760000000000002,1,2.0,1,0,0,0,0,1,0,0,0,1
M,67.0,792,41361.189032145194,6,11,2.652727272727273,0,,1,0,0,0,1,1,0,0,0,0
M,55.0,961,104092.52732825498,11,8,22.06125,3,6.666666666666667,0,0,0,0,0,1,1,1,0,0
M,31.0,1624,61967.71687874474,5,8,3.505,0,,1,0,1,0,0,1,1,0,0,0
F,80.0,586,93915.92601434974,14,7,23.415714285714284,4,5.75,0,1,0,0,0,1,0,1,1,0
F,56.0,637,70912.53496607227,16,7,15.805714285714286,4,4.25,0,0,0,1,0,1,1,0,1,1
M,43.0,1229,67382.20972666351,10,18,3.7494444444444444,2,3.0,0,1,0,1,1,0,0,0,0,0
M,61.0,561,66408.52985283997,8,4,15.47,2,4.0,0,1,0,0,0,1,0,0,1,0
F,76.0,738,38556.18241491737,10,15,27.207333333333334,3,4.333333333333333,1,1,0,0,0,1,0,0,1,0
F,53.0,11,98227.56243572707,4,1,33.13,0,,0,0,1,0,0,1,0,0,0,0
M,44.0,183,36376.90183109337,5,6,1.9133333333333333,0,,0,0,0,1,0,0,0,0,1,1
